Series Name,"Series Code","Country Name","Country Code","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
Urban population growth (annual %),"SP.URB.GROW","Russian Federation","RUS","0.21681969922566","0.0382750581248217","-0.119176055592708","-0.130779976691619","0.0213266077716375","-0.152284282189879","-0.170771318907146","-0.170964673728619","-0.316292914186897","-0.426019623316813","-0.42960474042756","-0.46687887840444","-0.410097020017193","-0.34130218813906","-0.320199454499703","-0.26608259956087","-0.109825264465345","0.0172199979291095","0.0898806241585683","0.105974278286512","0.13901785212749","0.241513510611899","0.300977228792329","0.316431187670982",""
Urban population growth (annual %),"SP.URB.GROW","Saudi Arabia","SAU","4.01486107797067","3.77301425557553","3.21800192016912","2.97362860873415","2.8871109630317","2.80646421048933","2.74410951250198","2.75379546897427","2.84019455281515","2.97394980013664","3.12372482100746","3.23863421051578","3.27862733189014","3.22097055310713","3.1048444746757","2.96779254010501","2.85101254215504","2.76857520491937","2.72889019349699","2.71944811943297","2.71408658304865","2.68550701866531","2.6150294851929","2.49432523223532",""
Urban population growth (annual %),"SP.URB.GROW","Spain","ESP","0.46245677221303","0.438471192757844","0.419304823530046","0.377287204034486","0.342140274786768","0.339242465377755","0.370273991320047","0.456276487316092","0.621554081218195","0.946655140742654","1.32263571806679","1.89254302850064","2.12806716477212","2.04276209944672","2.00175761706271","1.99920810283443","2.15770109034777","1.89844652332989","1.18537790236856","0.756607893274885","0.649389460315482","0.355581830036495","-0.0403849320124543","-0.0241829348010193",""
Urban population growth (annual %),"SP.URB.GROW","Switzerland","CHE","2.06228209625296","1.0333714857822","0.84151263931515","0.729272476726969","0.598964525705708","0.372289140444618","0.171515949830117","0.226328524821519","0.407448016457414","0.492417448567961","0.632775647600983","0.808277148395158","0.79370266468567","0.739183960002048","0.692336456678912","0.679269753268039","0.945369942301196","1.32226082224108","1.29976081208758","1.093155085224","1.16343928773286","1.11336779454388","1.21496315175385","1.29063818075439",""
Urban population growth (annual %),"SP.URB.GROW","Turkey","TUR","2.97746674630727","2.52832048177568","2.476653929007","2.44935581936296","2.43501944286935","2.42477088294911","2.40912290958936","2.38798167353528","2.35092001714584","2.30817191338841","2.38813925084401","2.40470374867525","2.35416378588549","2.28692510175864","2.20937696116275","2.11602642012883","2.03662211561038","2.03272536879285","2.12399800523168","2.27649097726714","2.02047701181936","1.99327067769909","1.96525934646801","1.93919881533637",""
Urban population growth (annual %),"SP.URB.GROW","United Kingdom","GBR","0.273408736099803","0.347213792691497","0.316469262069966","0.332530132496477","0.341153613981391","0.331173754095967","0.332766255006134","0.367838511025178","0.408505665282773","0.433615661051976","0.512040255282785","0.798501015283694","0.834359753141167","0.93379733417362","1.04513367651541","1.08979547464129","1.12718995503098","1.13186919618862","1.09510526789302","1.11777108530512","1.11076971290171","1.01844338368102","0.984308744614493","0.977419484053458",""
Urban population growth (annual %),"SP.URB.GROW","United States","USA","1.86738439894312","1.90863299657144","1.83118227604993","1.7309822295661","1.68646666337335","1.65278297800739","1.68197526681483","1.63762765741403","1.61295677155673","1.51201139138713","1.21338042170418","1.14841884658312","1.07836038438036","1.14388530085121","1.13588459113456","1.17796815968651","1.16306776101756","1.15618567133535","1.08529029428822","1.04178246340233","0.972454437935826","0.97127334416914","0.96470556997036","0.95168892070132",""
Urban population growth (annual %),"SP.URB.GROW","Afghanistan","AFG","7.33183673767238","8.73151013993735","9.06890026385262","8.32732081974929","7.03574504772917","5.63890825384787","4.60030759946859","4.09970582198976","4.29129932534083","4.90268145892869","5.5872989856228","6.01712608029536","6.09771715755862","5.76608776019242","5.22384466018424","4.64399555358274","4.21317428471198","3.9958727549197","4.04662705901628","4.27153804437281","4.53135450790465","4.6946681698713","4.73433292256046","4.60963006738531",""
Urban population growth (annual %),"SP.URB.GROW","Albania","ALB","0.141060581773093","0.878430429802018","0.855534960140529","0.843725669639771","0.824171260000091","0.812476342196282","0.788237294994372","0.774515178812666","0.755983737416337","0.742478629285177","0.710442617598151","2.18120890441126","2.06027418181457","1.97179893742068","1.82642935665107","1.66222789724062","1.49221506952818","1.43512421072918","1.47328791317413","1.60937326447224","1.77349639411719","1.86571237563675","1.81184927799924","1.73576171248059",""
Urban population growth (annual %),"SP.URB.GROW","Algeria","DZA","3.94485817905203","3.80814180981561","3.64850322363105","3.47455663785582","3.29306559594459","3.11872276159371","2.95217469790875","2.8191723098997","2.77743642909882","2.69242629078757","2.61042888521404","2.54967783290874","2.52162610185203","2.53508775464638","2.57598343388749","2.62506680397444","2.66963337434861","2.7295632583552","2.77362484973954","2.82408245173164","2.87844252341705","2.91250056089408","2.89981001822718","2.82697811328839",""
